Country,Amount,Year
Cote D'Ivoire The Republic Of,"1,580,500",2020
Monaco,"1,536,609",2020
El Salvador,"1,438,000",2020
Gambia,"1,344,303",2020
Guinea The Republic Of,"1,288,737",2020
Bolivia,"1,272,778",2020
Sierra Leone The Republic Of,"1,204,944",2020
Nigeria,"1,131,649",2020
Dominican Republic,"1,088,223",2020
Senegal,"1,003,111",2020
Malaysia,"1,000,000",2020
India,"999,662",2020
Czech Republic,"747,789",2020
Nepal,"620,146",2020
Liechtenstein,"535,585",2020
Tunisia,"493,091",2020
The Kingdom Of Eswatini,"463,880",2020
Namibia,"405,746",2020
Poland,"383,248",2020
Honduras,"342,460",2020
Portugal,"334,413",2020
Ghana,"300,000",2020
Malawi,"295,000",2020
Peru,"293,627",2020
Republic of Congo,"208,771",2020
South Africa,"182,142",2020
Panama,"179,198",2020
Israel,"170,000",2020
Thailand,"162,024",2020
Tanzania,"156,314",2020
Timor Leste,"121,786",2020
Hungary,"120,000",2020
Romania,"119,474",2020
Nicaragua,"119,388",2020
Croatia,"117,371",2020
Kuwait,"100,000",2020
Slovenia,"85,708",2020
Cyprus,"79,140",2020
Malta,"70,146",2020
Bulgaria,"65,336",2020
Estonia,"59,737",2020
The Republic Of Fiji,"43,932",2020
Andorra,"41,525",2020
Armenia,"40,672",2020
Greece,"35,842",2020
Lithuania,"27,996",2020
Holy See,"27,996",2020
Kazakhstan,"20,000",2020
Chile,"20,000",2020
Slovakia,"15,000",2020
Sri Lanka,"6,756",2020
Bhutan,"4,000",2020
